Price,Title,RAM,Hard Drive,Graphics Coprocessor,Number of USB 3.0 Ports,Brand,Series,Operating System,Processor Brand,Item model number,Graphics Card Ram Size,Manufacturer,Form Factor,Processor Type,Processor Speed,Memory Technology,Hard Disk Description,Graphics Chipset Brand,DisplaySizeInches,HorizontalPixels,VerticalPixels,WeightKg,Refurbished,base_color
461.04,"Lenovo IdeaPad 1 Student Laptop, Intel Dual Core Processor, 12GB RAM, 512GB SSD + 128GB eMMC, 15.6"" FHD Display, 1 Year Office 365, Windows 11 Home, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Grey",12 GB DDR4,512 GB SSD,Intel UHD Graphics,2,Lenovo,IdeaPad 1 15IJL7,Windows 11 Home,Intel,IdeaPad 1 15IJL7,1,Lenovo,Laptop,celeron,1.1 GHz,other,SSD,Intel,15.6,1920,1080,1.55128464,0,Grey
1210.4136,"Apple 2022 MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Space Gray",5 MB LPDDR4X,256 GB SSD,Apple M2,2,Apple,MacBook Air,Mac OS,Apple,MLXW3LL/A,6,,Laptop,,3.2 GHz,other,SSD,Other,13.6,2560,1664,1.2246984,0,Gray
292.38640000000004,"Acer Aspire 1 A115-32-C96U Slim Laptop | 15.6"" FHD Display | Intel Celeron N4500 Processor | 4GB DDR4 | 128GB eMMC | WiFi 5 | Microsoft 365 Personal 1-Year Subscription | Windows 11 in S Mode, Silver",4 GB DDR4,128 GB Emmc,Intel UHD Graphics,2,acer,A115-32-C96U,Windows 11 S,Intel,NX.A6WAA.00H,4 GB,Acer,Laptop,Celeron,5,ddr4,eMMC,Intel,15.6,1920,1080,1.6510748800000001,0,Silver
244.6368,"HP 2023 Newest Chromebook Laptop, 14 Inch Display, Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC, Intel UHD Graphics 600, WiFi, Bluetooth, Chrome OS, Modern Gray",4 GB DDR4,64 GB Emmc,Intel UHD Graphics 600,3,HP,HP Chromebook,Chrome OS,Intel,HP Chromebook,4 GB,HP,Chromebook,Celeron,2.6 GHz,other,eMMC,Intel,14.0,1366,768,1.5195332,0,Gray
256.99920000000003,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",4 GB DDR4,64 GB SSD,Intel UHD Graphics,3,HP,14-dq0040nr,Windows 11 S,Intel,14-dq0040nr,4 GB,HP,Laptop,Celeron,4,other,,Intel,14.0,1366,768,1.4696380800000002,0,White
566.304,"HP Newest Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life, Type-C, HDMI, Windows 11 Home, Silver",16 GB DDR4,1 TB SSD,Intel UHD Graphics,1,HP,hp laptop,Windows 11 Home,Intel,hp laptop,1 GB,HP,Laptop,apple_ci3,4,other,SSD,Intel,15.6,1366,768,1.6964340800000002,0,Silver
1890.4,"MSI Katana 15 15.6"" 144Hz FHD Gaming Laptop: 13th Gen Intel Core i7, RTX 4070, 16GB DDR5, 1TB NVMe SSD, USB-Type C, Cooler Boost 5, Win11 Home: Black B13VGK-484US",16 GB DDR5,1 TB SSD,NVIDIA GeForce RTX 4070,3,MSI,Katana 15 B13VGK-484US,Windows 11 Home,Intel,KATANA1513484,6,MSI,Gaming Laptop,Intel Core i7,5,ddr5,SSD,Intel,15.6,1920,1080,3.44276328,0,Black
882.6400000000001,"HP Victus 15 Gaming Laptop, 15.6"" FHD 144Hz Display, AMD Ryzen 5 7535HS, 16GB DDR5 RAM, 1TB PCIe M.2 SSD, NVIDIA GeForce RTX 2050, HDMI, Webcam, Backlit Keyboard, Wi-Fi 6, Windows 11 Home, Silver",16 GB DDR5,1 TB SSD,NVIDIA GeForce RTX 2050,3,HP,TPN-Q279_598U1AV,Windows 11 Home,AMD,TPN-Q279_598U1AV,16 GB,HP,Gaming Laptop,Ryzen 5,5,ddr5,SSD,AMD,15.6,1920,1080,2.3133192,0,Silver
401.2000000000001,"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red",16 GB DDR4,128 GB SSD,Intel UHD Graphics,3,HP,TPN-Q284_632**AV,Windows 11 Home,Intel,TPN-Q284_632**AV,6,HP,Laptop,Quad-Core,5,other,,Intel,15.6,1366,768,1.59664384,0,Red
679.864,"Dell Inspiron 3511 Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7 (Beats Intel i7-1065G7), 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",32 GB DDR4,1 TB SSD,Intel Iris Xe Graphics,2,Dell,Inspiron,Windows 11 Home,Intel,3511,8 MB,Dell,Laptop,Intel Core i5,2.4 GHz,ddr4,SSD,Intel,15.6,1920,1080,1.6782904,0,Black
909.84,"Late 2020 Apple MacBook Air with Apple M1 Chip (13.3 inch, 8GB RAM, 256GB SSD) Space Gray (Renewed)",8 GB DDR3,256 GB SSD,,0,Apple,MacBook Air,Mac OS,Apple,MGN63LL/A,8 GB,,SSD,,3,other,SSD,Other,13.3,2560,1600,1.2700576,1,Gray
1122.0,"Apple 2022 MacBook Air M2 Chip (13-inch, 8GB RAM, 256GB SSD Storage) (QWERTY English) Midnight (Renewed Premium)",LPDDR4X,256 GB SSD,Apple M2 8-core GPU,1,Apple,MacBoo Air,Mac OS Ventura,Apple,MLY33LL/A,24 GB,,SSD,,3.2 GHz,other,SSD,Other,13.0,2560,1600,2.28610368,1,other
530.3864000000001,"OTVOC Laptop 16 inch Windows 11 Pro, VocBook 16, Intel 12th Gen N95, Up to 3.4GHz, 16GB DDR5 RAM, 1TB PCIE NVME SSD, 16"" FHD IPS 1920x1200, 2.0MP, 2.4G+5G WiFi, BT 5.0, HDMI, RJ45, Type C, Gray",16 GB DDR5,1 TB SSD,Intel UHD Grsaphics,3,OTVOC,VocBook 16,Windows 11 Pro,Intel,VocBook 16,2,Intel,Laptop,celeron_n,3,ddr5,SSD,Intel,16.0,1920,1200,2.60361808,0,Gray
503.1864000000001,"Morostron 15.6"" Full Metal Laptop Intel Quad-Core Processor, 16GB LPDDR4 RAM 256GB SSD and 1080P FHD IPS, Windows 11 Laptop Computer with Backlit Keyboard and Finger Print Touch ID, AC WiFi,Gray",16 GB LPDDR4,256 GB SSD,Intel,0,Morostron,LeadBook T7 PRO,Windows 11,Intel,LeadBook T7 PRO,16 GB,Intel,Laptop,Quad-Core,,other,SSD,Intel,15.6,1920,1080,1.6782904,0,Gray
380.7864,"Laptop Computer, 15.6"" Laptop, 16GB RAM 512GB ROM, Intel Celeron Quad-Core Processors, 1920 x 1080 IPS FHD, 38000mWh Battery, WiFi, Bluetooth, Type-C, TF Card, Mini-HDMI",DDR4,512 GB SSD,Intel,0,ANMESC,ANLT1504,Windows 11 Home,Intel,Laptop,6,Intel,Laptop,Celeron,2.9 GHz,other,,Intel,15.6,1920,1080,1.64653896,0,other
244.1744,"14'' Laptop 8GB DDR4 512GB SSD, Intel Celeron N4000 Processors Laptop Computer, Windows 11 1080P IPS FHD Display Laptop Computer,Numeric Keypad USB 3.0, Bluetooth 4.2, 2.4/5G WiFi",16 DDR4,512 GB SSD,intel,0,TUHUI,N4000,Windows 11,Intel,N4000,4,Intel,Laptop,Celeron,3,ddr4,SSD,Intel,14.0,1920,1080,1.78715248,0,other
814.6400000000001,"HP 17 Laptop i5-1235U, 512 GB SSD, 16GB RAM, 17.3"" HD+ Touchscreen, Win 11 Home Plus, 3 Cell, Silver Color, 64 GB Tech Warehouse Flashdrive",16 DDR4,512 GB SSD,Intel HD Graphics 520,2,HP,HP 17T,Windows 11 Home,Intel,HP,512 GB,HP,Laptop,core_i5,3,other,SSD,Other,17.3,1600,900,2.381358,0,Silver
883.9864000000001,"SGIN Laptops, Laptop 17 Inch, 4GB DDR4 128GB SSD Laptops Computer with Intel Core i3 Processor (up to 2.4 GHz), 60800mWh Long Battery, Webcam, Mini HDMI, USB3.2 * 2, Dual WiFi, Type-C, (Black)",4 GB DDR4,128 GB SSD,Integrated,0,SGIN,Laptop,11,Intel,M17S,2,Intel,Laptop,Intel Core i3,2.4 GHz,ddr4,SSD,Intel,17.3,1366,768,1.84611944,0,Black
1767.9864000000002,"16 inch Laptop, 16GB DDR4 512GB SSD, Intel Quad-Core N95 Processor (up to 3.4Ghz) Windows 11 Pro, Laptop Computer with Metal Body Support 16:10 1080P, 2.4/5G WiFi, Bluetooth 4.2, Full-Function Type-C",LPDDR4,512 GB SSD,Intel HD Graphics 520,3,XKMURT,N16,Windows 11,Intel,Laptop,2,Intel,Laptop,Quad-Core,3,ddr4,SSD,Intel,16.0,1920,1200,1.9368378399999997,0,other
1316.4392,"Acer Predator Triton 14 Gaming/Creator Laptop | 13th Gen Intel i7-13700H | NVIDIA GeForce RTX 4050 | 14"" WUXGA 165Hz G-SYNC Display | 16GB LPDDR5 | 512GB PCIe Gen 4 SSD | Killer WiFi 6E | PT14-51-78B4",16 GB LPDDR5,512 GB SSD,NVIDIA GeForce RTX 4050,3,acer,PT14-51-78B4,Windows 11 Home,Intel,NH.QLNAA.001,6 GB,Acer,Gaming,apple_ci7,4,other,SSD,Intel,14.0,1920,1200,1.7009699999999999,0,other
406.64,"2017 Apple Macbook Air with 1.8GHz Intel Core i5 (13-inch, 8GB RAM, 128GB SSD Storage) (QWERTY English) Silver (Renewed)",8 GB LPDDR3,128 GB,Intel HD Graphics 6000,0,Apple,MacBook Air,macOS 10.12 Sierra,Intel,MQD32LL/A,1,Intel,SSD,Intel Core i5,1.8 GHz,other,SSD,Intel,13.3,1366,768,1.360776,1,Silver
