,Price,Title,Hard Drive,Number of USB 3.0 Ports,Brand,Series,Processor Brand,Item model number,Memory Technology,Hard Disk Description,Graphics Chipset Brand,DisplaySizeInches,HorizontalPixels,VerticalPixels,WeightKg,Refurbished,base_color,RAM_in_GB,Graphics_Coprocessor_Brand,OS_Name,MANU_Name,Graphics Storage (GB),Laptop_Type,ProcessorManufacturer,ProcessorSpeedGHz,HDD_NEW,SSD_NEW,Hybrid_NEW,Flash_Storage_NEW
13,1210.4136,"Apple 2022 MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Space Gray",256  SSD,2,Apple,MacBook Air,Other,MLXW3LL/A,other,SSD,Other,13.6,2560.0,1664.0,1.2246984,0,Gray,5.0,Apple,Mac,Other,6,Laptop,Other,3.2,0,0,0,0
14,292.38640000000004,"Acer Aspire 1 A115-32-C96U Slim Laptop | 15.6"" FHD Display | Intel Celeron N4500 Processor | 4GB DDR4 | 128GB eMMC | WiFi 5 | Microsoft 365 Personal 1-Year Subscription | Windows 11 in S Mode, Silver",128  Emmc,2,acer,A115-32-C96U,Intel,NX.A6WAA.00H,ddr4,Other,Intel,15.6,1920.0,1080.0,1.65107488,0,Silver,4.0,Intel,Windows,acer,4,Laptop,Other,5.0,0,0,0,0
15,244.6368,"HP 2023 Newest Chromebook Laptop, 14 Inch Display, Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC, Intel UHD Graphics 600, WiFi, Bluetooth, Chrome OS, Modern Gray",64  Emmc,3,HP,HP Chromebook,Intel,HP Chromebook,other,Other,Intel,14.0,1366.0,768.0,1.5195332,0,Gray,4.0,Intel,Other,hp,4,Chromebook,Other,2.6,0,0,0,0
16,256.99920000000003,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",64  SSD,3,HP,14-dq0040nr,Intel,14-dq0040nr,other,Other,Intel,14.0,1366.0,768.0,1.4696380800000002,0,White,4.0,Intel,Windows,hp,4,Laptop,Other,4.0,0,0,0,0
17,566.304,"HP Newest Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life, Type-C, HDMI, Windows 11 Home, Silver",1 000 SSD,1,HP,hp laptop,Intel,hp laptop,other,SSD,Intel,15.6,1366.0,768.0,1.6964340800000002,0,Silver,16.0,Intel,Windows,hp,1,Laptop,Other,4.0,0,0,0,0
18,1890.4,"MSI Katana 15 15.6"" 144Hz FHD Gaming Laptop: 13th Gen Intel Core i7, RTX 4070, 16GB DDR5, 1TB NVMe SSD, USB-Type C, Cooler Boost 5, Win11 Home: Black B13VGK-484US",1 000 SSD,3,MSI,Katana 15 B13VGK-484US,Intel,KATANA1513484,ddr5,SSD,Intel,15.6,1920.0,1080.0,3.44276328,0,Black,16.0,NVIDIA,Windows,Other,6,Gaming,Intel I7,5.0,0,0,0,0
19,882.6400000000001,"HP Victus 15 Gaming Laptop, 15.6"" FHD 144Hz Display, AMD Ryzen 5 7535HS, 16GB DDR5 RAM, 1TB PCIe M.2 SSD, NVIDIA GeForce RTX 2050, HDMI, Webcam, Backlit Keyboard, Wi-Fi 6, Windows 11 Home, Silver",1 000 SSD,3,HP,TPN-Q279_598U1AV,AMD,TPN-Q279_598U1AV,ddr5,SSD,AMD,15.6,1920.0,1080.0,2.3133192,0,Silver,16.0,NVIDIA,Windows,hp,16,Gaming,AMD RYZEN 5,5.0,0,0,0,0
20,401.2000000000001,"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red",128  SSD,3,HP,TPN-Q284_632**AV,Intel,TPN-Q284_632**AV,other,Other,Intel,15.6,1366.0,768.0,1.59664384,0,Red,16.0,Intel,Windows,hp,6,Laptop,Other,5.0,0,0,0,0
21,679.864,"Dell Inspiron 3511 Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7 (Beats Intel i7-1065G7), 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",1 000 SSD,2,Dell,Inspiron,Intel,3511,ddr4,SSD,Intel,15.6,1920.0,1080.0,1.6782904,0,Black,32.0,Intel,Windows,dell,8,Laptop,Intel I5,2.4,0,0,0,0
22,909.84,"Late 2020 Apple MacBook Air with Apple M1 Chip (13.3 inch, 8GB RAM, 256GB SSD) Space Gray (Renewed)",256  SSD,0,Apple,MacBook Air,Other,MGN63LL/A,other,SSD,Other,13.3,2560.0,1600.0,1.2700576,1,Gray,8.0,Other,Mac,Other,8,Laptop,Other,3.0,0,0,0,0
