Price,Title,Brand,Processor Brand,Memory Technology,Hard Disk Description,DisplaySizeInches,HorizontalPixels,VerticalPixels,WeightKg,Refurbished,base_color,RAM_in_GB,Graphics_Coprocessor_Brand,OS_Name,Graphics Storage (GB),Laptop_Type,ProcessorManufacturer,ProcessorSpeedGHz,PPI
257,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",hp,Intel,other,Other,14.0,1366.0,768.0,1.4696380800000002,0,White,4,Intel,Windows,4,Laptop,Other,4.0,111.93520355955211
566,"HP Newest Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life, Type-C, HDMI, Windows 11 Home, Silver",hp,Intel,other,SSD,15.6,1366.0,768.0,1.6964340800000002,0,Silver,16,Intel,Windows,1,Laptop,Other,4.0,100.45466986113651
1890,"MSI Katana 15 15.6"" 144Hz FHD Gaming Laptop: 13th Gen Intel Core i7, RTX 4070, 16GB DDR5, 1TB NVMe SSD, USB-Type C, Cooler Boost 5, Win11 Home: Black B13VGK-484US",msi,Intel,ddr5,SSD,15.6,1920.0,1080.0,3.44276328,0,Black,16,NVIDIA,Windows,6,Gaming,Intel I7,5.0,141.21199808219862
883,"HP Victus 15 Gaming Laptop, 15.6"" FHD 144Hz Display, AMD Ryzen 5 7535HS, 16GB DDR5 RAM, 1TB PCIe M.2 SSD, NVIDIA GeForce RTX 2050, HDMI, Webcam, Backlit Keyboard, Wi-Fi 6, Windows 11 Home, Silver",hp,AMD,ddr5,SSD,15.6,1920.0,1080.0,2.3133192,0,Silver,16,NVIDIA,Windows,16,Gaming,AMD RYZEN 5,5.0,141.21199808219862
401,"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red",hp,Intel,other,Other,15.6,1366.0,768.0,1.59664384,0,Red,16,Intel,Windows,6,Laptop,Other,5.0,100.45466986113651
680,"Dell Inspiron 3511 Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7 (Beats Intel i7-1065G7), 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",dell,Intel,ddr4,SSD,15.6,1920.0,1080.0,1.6782904,0,Black,32,Intel,Windows,8,Laptop,Intel I5,2.4,141.21199808219862
910,"Late 2020 Apple MacBook Air with Apple M1 Chip (13.3 inch, 8GB RAM, 256GB SSD) Space Gray (Renewed)",apple,Other,other,SSD,13.3,2560.0,1600.0,1.2700576,1,Gray,8,Other,Mac,8,Laptop,Other,3.0,226.98300468106115
1122,"Apple 2022 MacBook Air M2 Chip (13-inch, 8GB RAM, 256GB SSD Storage) (QWERTY English) Midnight (Renewed Premium)",apple,Other,other,SSD,13.0,2560.0,1600.0,2.28610368,1,other,16,Apple,Mac,24,Laptop,Other,3.2,232.22107401985488
530,"OTVOC Laptop 16 inch Windows 11 Pro, VocBook 16, Intel 12th Gen N95, Up to 3.4GHz, 16GB DDR5 RAM, 1TB PCIE NVME SSD, 16"" FHD IPS 1920x1200, 2.0MP, 2.4G+5G WiFi, BT 5.0, HDMI, RJ45, Type C, Gray",otvoc,Intel,ddr5,SSD,16.0,1920.0,1200.0,2.60361808,0,Gray,16,Intel,Windows,2,Laptop,Other,3.0,141.50971698084905
503,"Morostron 15.6"" Full Metal Laptop Intel Quad-Core Processor, 16GB LPDDR4 RAM 256GB SSD and 1080P FHD IPS, Windows 11 Laptop Computer with Backlit Keyboard and Finger Print Touch ID, AC WiFi,Gray",morostron,Intel,other,SSD,15.6,1920.0,1080.0,1.6782904,0,Gray,16,Intel,Windows,16,Laptop,Other,3.0,141.21199808219862
381,"Laptop Computer, 15.6"" Laptop, 16GB RAM 512GB ROM, Intel Celeron Quad-Core Processors, 1920 x 1080 IPS FHD, 38000mWh Battery, WiFi, Bluetooth, Type-C, TF Card, Mini-HDMI",anmesc,Intel,other,Other,15.6,1920.0,1080.0,1.64653896,0,other,16,Intel,Windows,6,Laptop,Other,2.9,141.21199808219862
244,"14'' Laptop 8GB DDR4 512GB SSD, Intel Celeron N4000 Processors Laptop Computer, Windows 11 1080P IPS FHD Display Laptop Computer,Numeric Keypad USB 3.0, Bluetooth 4.2, 2.4/5G WiFi",tuhui,Intel,ddr4,SSD,14.0,1920.0,1080.0,1.78715248,0,other,16,Intel,Windows,4,Laptop,Other,3.0,157.3505121487356
815,"HP 17 Laptop i5-1235U, 512 GB SSD, 16GB RAM, 17.3"" HD+ Touchscreen, Win 11 Home Plus, 3 Cell, Silver Color, 64 GB Tech Warehouse Flashdrive",hp,Intel,other,SSD,17.3,1600.0,900.0,2.381358,0,Silver,16,Intel,Windows,512,Laptop,Other,3.0,106.11306214269258
884,"SGIN Laptops, Laptop 17 Inch, 4GB DDR4 128GB SSD Laptops Computer with Intel Core i3 Processor (up to 2.4 GHz), 60800mWh Long Battery, Webcam, Mini HDMI, USB3.2 * 2, Dual WiFi, Type-C, (Black)",sgin,Intel,ddr4,SSD,17.3,1366.0,768.0,1.84611944,0,Black,4,Intel,Other,2,Laptop,Intel I3,2.4,90.58340172449303
1768,"16 inch Laptop, 16GB DDR4 512GB SSD, Intel Quad-Core N95 Processor (up to 3.4Ghz) Windows 11 Pro, Laptop Computer with Metal Body Support 16:10 1080P, 2.4/5G WiFi, Bluetooth 4.2, Full-Function Type-C",xkmurt,Intel,ddr4,SSD,16.0,1920.0,1200.0,1.93683784,0,other,16,Intel,Windows,2,Laptop,Other,3.0,141.50971698084905
1316,"Acer Predator Triton 14 Gaming/Creator Laptop | 13th Gen Intel i7-13700H | NVIDIA GeForce RTX 4050 | 14"" WUXGA 165Hz G-SYNC Display | 16GB LPDDR5 | 512GB PCIe Gen 4 SSD | Killer WiFi 6E | PT14-51-78B4",acer,Intel,other,SSD,14.0,1920.0,1200.0,1.70097,0,other,16,NVIDIA,Windows,6,Gaming,Other,4.0,161.72539083525606
407,"2017 Apple Macbook Air with 1.8GHz Intel Core i5 (13-inch, 8GB RAM, 128GB SSD Storage) (QWERTY English) Silver (Renewed)",apple,Intel,other,SSD,13.3,1366.0,768.0,1.360776,1,Silver,8,Intel,Mac,1,Laptop,Intel I5,1.8,117.82653006268643
